id,title,artist,year,views,features,is_country,is_pop,is_rap,is_rb,is_rock,stanza_number,is_chorus,lemmatized_stanzas
94517,I Met Her At Trap SZN,The Problematic Genius,2019,28,{''},False,False,True,False,False,0,False,"['I', 'pop', 'an', 'addy', 'make', 'a', 'mill', 'fill', 'my', 'mind', 'with', 'sin', 'while', 'I', 'win', 'and', 'win']"
160593,Lune,Periphery,2016,22216,{''},False,False,False,False,True,8,False,"['whoa', 'oh', 'oh', 'whoa', 'oh', 'whoa', 'oh', 'oh', 'whoa', 'oh', 'whoa', 'oh', 'oh', 'whoa', 'oh', 'whoa', 'oh', 'oh', 'whoa', 'oh']"
94306,Thee Business,Ted Roe,2012,27,"{'DJ Klimax', 'High-C'}",False,False,True,False,False,0,False,"['what', 'be', 'really', 'good', 'with', 'these', 'question', 'you', 'be', 'askin', 'obama', 'and', 'my', 'mama', 'know', 'that', 'I', 'pay', 'my', 'taxis', 'never', 'have', 'much', 'trouble', 'credit', 'card', 'be', 'a', 'bastard', 'work', 'in', 'collection', 'make', 'I', 'start', 'to', 'look', 'backwards', 'see', 'fuck', 'allianceone', 'be', 'still', 'a', 'come', 'attraction', 'but', 'enough', 'distraction', 'I', 'come', 'to', 'spit', 'fact', 'on', 'the', 'basic', 'step', 'on', 'how', 'to', 'build', 'your', 'stack', 'up', 'no', 'crack', 'but', 'capital', 'be', 'need', 'get', 'those', 'tax', 'free', 'rack', 'up', 'busy', 'get', 'weed', 'leave', 'you', 'seedless', 'hit', 'the', 'track', 'bruh', 'grind', 'for', 'what', 'you', 'need', 'until', 'the', 'toil', 'tear', 'your', 'back', 'up', 'flip', 'it', 'with', 'a', 'speed', 'that', 'guarantee', 'you', 'will', 'double', 'that', 'one', 'and', 'wash', 'rinse', 'and', 'repeat', 'hustlenomic', 'it', 'be', 'a', 'sample', 'you', 'can', 'move', 'more', 'weight', 'than', 'acme', 'do', 'selling', 'anvil', 'more', 'syrup', 'than', 'fructose', 'more', 'pill', 'than', 'advil', 'if', 'you', 'miss', 'the', 'message', 'press', 'rewind', 'on', 'the', 'ramble', 'then', 'bubble', 'up', 'your', 'dirt', 'just', 'like', 'proctor', 'gamble']"
38711,August Dear,The Chipmunks,1961,79,{''},False,True,False,False,False,3,False,"['okay', 'mien', 'hair', 'be', 'you', 'bear', 'in', 'august', 'dear', 'august', 'dear', 'august', 'dear', 'be', 'you', 'bear', 'in', 'august', 'or', 'be', 'it', 'july', 'september', 'october', 'november', 'december', 'oh', 'be', 'you', 'bear', 'in', 'august', 'or', 'be', 'it', 'july']"
154802,The Lord of Lies,Grand Magus,2010,196,{''},False,False,False,False,True,2,True,"['a', 'sacrifice', 'to', 'make', 'it', 'work', 'he', 'must', 'endure', 'the', 'pain', 'a', 'conjuring', 'free', 'the', 'magic', 'fan', 'the', 'flame', 'again']"
100713,Brand New Shirt,SuperMega,2021,8520,{''},False,False,True,False,False,3,False,"['get', 'a', 'brand', 'new', 'lung', 'get', 'to', 'switch', 'em', 'out', 'cause', 'smoking', 'ciggie', 'be', 'fun', 'breathing', 'like', 'a', 'champ', 'with', 'my', 'brand', 'new', 'lung', 'sip', 'on', 'this', 'can', 'with', 'my', 'brand', 'new', 'lung', 'slurpgot', 'a', 'brand', 'new', 'toy', 'taste', 'kinda', 'funny', 'but', 'it', 'bring', 'I', 'joy', 'I', 'have', 'a', 'lot', 'of', 'fun', 'with', 'my', 'brand', 'new', 'toy', 'slurpgot', 'a', 'brand', 'new', 'drink', 'taste', 'kind', 'of', 'bitter', 'but', 'it', 'really', 'do', 'n’t', 'sting', 'really', 'go', 'in', 'slurp', 'oh', 'ugh', 'brand', 'new', 'slurpingoh', 'god', 'slurp', 'cough']"
107958,Lady of Leisure,Gifted Gab,2015,3496,{''},False,False,True,False,False,4,False,"['yo', 'these', 'bitch', 'runnin', 'round', 'tryna', 'be', 'renegade', 'but', 'bitch', 'I', 'run', 'the', 'town', 'if', 'you', 'wanna', 'get', 'pay', 'you', 'should', 'come', 'my', 'way', 'you', 'should', 'come', 'my', 'way', 'you', 'should', 'come', 'my', 'way', 'you', 'should', 'come', 'my', 'wayyou', 'should', 'come', 'my', 'way', 'you', 'should', 'come', 'my', 'way', 'you', 'should', 'come', 'my', 'way', 'you', 'should', 'come', 'my', 'waybitch', 'I', 'run', 'the', 'town', 'bitch', 'I', 'run', 'the', 'town']"
156096,Dreams Never Die,David Akulian,2020,17,{''},False,False,False,False,True,1,False,"['it', '’', 'easy', 'to', 'fall', 'but', 'too', 'hard', 'to', 'climb', 'it', '’', 'easy', 'to', 'lose', 'but', 'too', 'hard', 'to', 'find', 'but', 'dream', 'never']"
124682,All Mine,Good Girl,2016,1563,{''},False,False,False,True,False,1,True,"['you', 'know', 'my', 'body', ""'s"", 'calling', 'for', 'youto', 'come', 'and', 'dance', 'up', 'on', 'it', 'boy', 'whine', 'it', 'all', 'this', 'for', 'youyou', 'know', 'you', 'know', 'you', 'like', 'it', 'so', 'what', 'you', 'gon', 'do?dance', 'up', 'on', 'it', 'boy', 'whine', 'it', 'all', 'this', 'for', 'you']"
84411,Thewalkingdead,Azynporter,2019,32,{''},False,False,True,False,False,2,False,"['I', 'get', 'a', 'gun', 'I', 'get', 'a', 'gun', 'I', 'get', 'a', 'gun', 'I', 'get', 'a', 'gun']"
102708,Found U,Jay Kline,2021,3,{''},False,False,True,False,False,5,False,"['find', 'I', 'on', 'edge', 'I', 'be', 'on', 'the', 'ledge', 'not', 'use', 'my', 'head', 'always', 'feel', 'stress', 'who', 'could', 'love', 'I', 'well', 'what', 'do', 'I', 'expect', 'I', 'be', 'down', 'and', 'out', 'you', 'would', 'never', 'check']"
50535,Under Streetlights,HOGNI,2012,397,{''},False,True,False,False,False,3,False,"['my', 'whole', 'life', 'it', 'go', 'downhill', 'never', 'again', 'I', 'will', 'feel', 'a', 'thrill', 'do', 'not', 'believe', 'there', 'ever', 'be', 'a', 'free', 'will']"
136452,Fear My Odds,Small Town Crisis,2016,33,{''},False,False,False,False,True,2,True,"['it', 'be', 'like', 'chase', 'road', 'you', 'know', 'it', 'be', 'go', 'to', 'end', 'you', 'be', 'live', 'your', 'life', 'you', 'know', 'it', 'be', 'just', 'pretend', 'oh', 'you', 'know', 'oh', 'you', 'know', 'it', 'be', 'like', 'try', 'to', 'break', 'a', 'bond', 'that', 'be', 'just', 'not', 'go', 'to', 'bend', 'you', 'be', 'give', 'your', 'heart', 'oh', 'you', 'know', 'you', 'know', 'you', 'should', 'fear', 'my', 'odd']"
